Date,Open,High,Low,Close,Adj Close,Volume
11/24/2021,466.059998,469.570007,465.190002,469.440002,453.436829,61858800
11/26/2021,462.339996,463.899994,457.769989,458.970001,443.323792,112669600
11/29/2021,464.070007,466.559998,461.730011,464.600006,448.76178,86268800
11/30/2021,462,464.029999,455.299988,455.559998,440.030029,148559600
12/1/2021,461.640015,464.670013,450.290009,450.5,435.142487,131939200
12/2/2021,450.730011,459.070007,450.309998,457.399994,441.807281,127637800
12/3/2021,459.170013,460.299988,448.920013,453.420013,437.962952,137331600
12/6/2021,456.130005,460.790009,453.559998,458.790009,443.149902,98977500
12/7/2021,464.410004,468.880005,458.649994,468.279999,452.316376,95484700
12/8/2021,468.700012,470,466.829987,469.519989,453.51416,72238800
12/9/2021,468.149994,469.630005,466.140015,466.350006,450.452209,61272600
12/10/2021,469.230011,470.899994,466.51001,470.73999,454.692474,77159800
12/13/2021,470.190002,470.559998,466.269989,466.570007,450.664703,87724700
12/14/2021,463.089996,465.73999,460.25,463.359985,447.564087,97264100
12/15/2021,463.420013,470.859985,460.73999,470.600006,454.557281,116899300
12/16/2021,472.570007,472.869995,464.799988,466.450012,450.548798,116568600
12/17/2021,461.549988,464.73999,458.059998,459.869995,445.753601,135511600
12/20/2021,454.480011,455.399994,451.140015,454.980011,441.013702,107134800
12/21/2021,458.609985,463.209991,456.309998,463.059998,448.845734,69806300
12/22/2021,462.790009,467.809998,462.579987,467.690002,453.333618,58890200
12/23/2021,468.75,472.190002,468.640015,470.600006,456.154266,56439700
12/27/2021,472.059998,477.309998,472.01001,477.26001,462.609833,56808600
12/28/2021,477.720001,478.809998,476.059998,476.869995,462.231781,47274600
12/29/2021,476.980011,478.559998,475.920013,477.480011,462.82309,54503000
12/30/2021,477.929993,479,475.670013,476.160004,461.54361,55329000
12/31/2021,475.640015,476.859985,474.670013,474.959991,460.380402,65237400
1/3/2022,476.299988,477.850006,473.850006,477.709991,463.04599,72668200
1/4/2022,479.220001,479.980011,475.579987,477.549988,462.890839,71178700
1/5/2022,477.160004,477.980011,468.279999,468.380005,454.002411,104538900
1/6/2022,467.890015,470.820007,465.429993,467.940002,453.575928,86858900
1/7/2022,467.950012,469.200012,464.649994,466.089996,451.782745,85111600
1/10/2022,462.700012,465.73999,456.600006,465.51001,451.22049,119362000
1/11/2022,465.230011,469.850006,462.049988,469.75,455.330353,74303100
1/12/2022,471.589996,473.200012,468.940002,471.019989,456.56134,67605400
1/13/2022,472.190002,472.880005,463.440002,464.529999,450.270569,91173100
1/14/2022,461.190002,465.089996,459.899994,464.720001,450.454742,95890900
1/18/2022,459.73999,459.959991,455.309998,456.48999,442.477417,109709100
1/19/2022,458.130005,459.609985,451.459991,451.75,437.882843,109357600
1/20/2022,453.75,458.73999,444.5,446.75,433.036346,122379700
1/21/2022,445.559998,448.059998,437.950012,437.980011,424.535583,202271200
1/24/2022,432.029999,440.380005,420.76001,439.839996,426.33847,251783900
1/25/2022,433.059998,439.720001,427.149994,434.470001,421.133301,167997300
1/26/2022,440.720001,444.040009,428.859985,433.380005,420.076752,186391100
1/27/2022,438.26001,441.589996,429.450012,431.23999,418.002502,149878300
1/28/2022,432.679993,442,427.820007,441.950012,428.383698,164457400
1/31/2022,441.23999,450.279999,439.809998,449.910004,436.099396,152251400
2/1/2022,450.679993,453.630005,446.940002,452.950012,439.046051,123155400
2/2/2022,455.5,458.119995,453.049988,457.350006,443.310944,117361000
2/3/2022,450.950012,452.970001,445.709991,446.600006,432.891022,118024400
2/4/2022,446.350006,452.779999,443.829987,448.700012,434.926575,118454400
2/7/2022,449.51001,450.98999,445.850006,447.26001,433.53067,84472900
2/8/2022,446.730011,451.920013,445.220001,450.940002,437.097748,81012000
2/9/2022,455.220001,457.880005,455.01001,457.540009,443.495178,92589900
2/10/2022,451.339996,457.709991,447.200012,449.320007,435.527496,140103700
2/11/2022,449.410004,451.609985,438.940002,440.459991,426.939453,153214600
2/14/2022,439.920013,441.600006,435.339996,439.019989,425.543701,123006300
2/15/2022,443.730011,446.279999,443.179993,446.100006,432.406342,88482700
2/16/2022,443.929993,448.059998,441.940002,446.600006,432.891022,84863600
2/17/2022,443.220001,446.570007,436.420013,437.059998,423.643829,102259100
2/18/2022,437.329987,438.660004,431.820007,434.230011,420.900665,132642900
2/22/2022,431.890015,435.5,425.859985,429.570007,416.383759,124391800
2/23/2022,432.660004,433.26001,421.350006,421.950012,408.99765,132578000
2/24/2022,411.019989,428.76001,410.640015,428.299988,415.152649,213942900
2/25/2022,429.609985,437.839996,427.859985,437.75,424.312653,121804500
2/28/2022,432.029999,438.200012,430.700012,436.630005,423.22699,145615000
3/1/2022,435.040009,437.170013,427.109985,429.980011,416.781158,137785900
3/2/2022,432.369995,439.720001,431.570007,437.890015,424.448364,117726500
3/3/2022,440.470001,441.109985,433.799988,435.709991,422.335236,105501700
3/4/2022,431.75,433.369995,427.880005,432.170013,418.903931,113978200
3/7/2022,431.549988,432.299988,419.359985,419.429993,406.554993,137896600
3/8/2022,419.619995,427.209991,415.119995,416.25,403.472565,164772700
3/9/2022,425.140015,429.51001,422.820007,427.410004,414.290039,116990800
3/10/2022,422.519989,426.429993,420.440002,425.480011,412.41925,93972700
3/11/2022,428.119995,428.769989,419.529999,420.070007,407.175354,95636300
3/14/2022,420.890015,424.549988,415.790009,417,404.199585,95729200
3/15/2022,419.769989,426.839996,418.420013,426.170013,413.088165,106219100
3/16/2022,429.890015,435.679993,424.799988,435.619995,422.248016,144954800
3/17/2022,433.589996,441.070007,433.190002,441.070007,427.530731,102676900
3/18/2022,438,444.859985,437.220001,444.519989,432.213379,106345500
3/21/2022,444.339996,446.459991,440.679993,444.390015,432.087006,88349800
3/22/2022,445.859985,450.579987,445.859985,449.589996,437.143005,74650400
3/23/2022,446.910004,448.48999,443.709991,443.799988,431.513306,79426100
3/24/2022,445.940002,450.5,444.76001,450.48999,438.018066,64736900
3/25/2022,451.160004,452.980011,448.429993,452.690002,440.157196,77101300
3/28/2022,452.059998,455.910004,450.059998,455.910004,443.288025,68529800
3/29/2022,460.019989,462.070007,457.179993,461.549988,448.771942,86581500
3/30/2022,460.339996,461.200012,456.470001,458.700012,446.000793,79666900
3/31/2022,457.890015,458.76001,451.160004,451.640015,439.136292,121699900
4/1/2022,453.309998,453.459991,449.140015,452.920013,440.380859,89048800
4/4/2022,453.130005,456.910004,452.26001,456.799988,444.153442,59601000
4/5/2022,455.220001,457.829987,449.820007,451.029999,438.543121,74214500
4/6/2022,446.890015,448.929993,443.470001,446.519989,434.15802,106898000
4/7/2022,445.589996,450.690002,443.529999,448.769989,436.345734,78097200
4/8/2022,447.970001,450.630005,445.940002,447.570007,435.178955,79272700
4/11/2022,444.109985,445,439.390015,439.920013,427.740753,89770500
4/12/2022,443.079987,445.75,436.649994,438.290009,426.155884,84363600
4/13/2022,438.029999,444.109985,437.839996,443.309998,431.036865,74070400
4/14/2022,443.549988,444.730011,437.679993,437.790009,425.669708,97869500
4/18/2022,436.809998,439.75,435.609985,437.970001,425.844696,66002500
4/19/2022,437.859985,445.799988,437.679993,445.040009,432.718994,77821000
4/20/2022,446.920013,447.570007,443.480011,444.709991,432.398102,65224400
4/21/2022,448.540009,450.01001,437.100006,438.059998,425.93222,85417300
4/22/2022,436.910004,438.079987,425.440002,426.040009,414.245026,132471800
4/25/2022,423.670013,428.690002,418.839996,428.51001,416.646606,119647700
4/26/2022,425.829987,426.040009,416.070007,416.100006,404.5802,103996300
4/27/2022,417.23999,422.920013,415.01001,417.269989,405.717804,122030000
4/28/2022,422.290009,429.640015,417.600006,427.809998,415.966003,105449100
4/29/2022,423.589996,425.869995,411.209991,412,400.59375,145491100
5/2/2022,412.070007,415.920013,405.019989,414.480011,403.005035,158312500
5/3/2022,415.01001,418.929993,413.359985,416.380005,404.852417,100028200
5/4/2022,417.079987,429.660004,413.709991,429.059998,417.181396,144247900
5/5/2022,424.549988,425,409.440002,413.809998,402.353607,172929100
5/6/2022,411.100006,414.799988,405.730011,411.339996,399.951965,151770800
5/9/2022,405.100006,406.410004,396.5,398.170013,387.146606,155586100
5/10/2022,404.48999,406.079987,394.820007,399.089996,388.041138,132497200
5/11/2022,398.070007,404.040009,391.959991,392.75,381.876617,142361000
5/12/2022,389.369995,395.799988,385.149994,392.339996,381.478027,125090800
5/13/2022,396.709991,403.179993,395.609985,401.720001,390.598297,104174400
5/16/2022,399.980011,403.970001,397.600006,400.089996,389.013428,78622400
5/17/2022,406.529999,408.570007,402.579987,408.320007,397.015625,83029700
5/18/2022,403.5,403.799988,390.549988,391.859985,381.01123,117674500
5/19/2022,388.619995,394.140015,387.109985,389.459991,378.677704,98510700
5/20/2022,393.25,397.029999,380.540009,389.630005,378.843018,131432200
5/23/2022,392.829987,397.730011,390.380005,396.920013,385.931244,76414900
5/24/2022,392.559998,395.149994,386.959991,393.890015,382.985138,91448800
5/25/2022,392.309998,399.450012,391.890015,397.369995,386.368774,91472900
5/26/2022,398.670013,407.040009,398.450012,405.309998,394.088898,82168300
5/27/2022,407.910004,415.380005,407.700012,415.26001,403.763489,84768700
5/31/2022,413.549988,416.459991,410.029999,412.929993,401.497955,95937000
6/1/2022,415.170013,416.23999,406.929993,409.589996,398.250366,86585800
6/2/2022,409.420013,417.440002,407.040009,417.390015,405.834503,79609600
6/3/2022,412.399994,414.040009,409.51001,410.540009,399.174133,71874300
6/6/2022,414.779999,416.609985,410.549988,411.790009,400.389557,57508900
6/7/2022,408.100006,416.220001,407.609985,415.73999,404.230103,59272400
6/8/2022,413.929993,415.820007,410.380005,411.220001,399.835327,64350000
6/9/2022,409.339996,411.73999,401.440002,401.440002,390.32605,86289800
6/10/2022,394.880005,395.779999,389.75,389.799988,379.008301,132893900
6/13/2022,379.850006,381.809998,373.299988,375,364.618042,170004900
6/14/2022,376.850006,377.940002,370.589996,373.869995,363.519348,104011800
6/15/2022,377.359985,383.899994,372.119995,379.200012,368.701813,125666800
6/16/2022,370.51001,370.940002,364.079987,366.649994,356.499207,134473300
6/17/2022,365.51001,369.380005,362.170013,365.859985,357.267761,111113900
6/21/2022,371.890015,376.529999,371.809998,375.070007,366.261444,76811900
6/22/2022,370.619995,378.720001,370.179993,374.390015,365.597473,90059400
6/23/2022,376.640015,378.829987,372.890015,378.059998,369.181244,79292100
6/24/2022,381.399994,390.089996,381.369995,390.079987,380.918884,98050300
6/27/2022,391.049988,391.359985,387.440002,388.589996,379.463928,66009600
6/28/2022,390.230011,393.160004,380.529999,380.649994,371.710419,86548900
6/29/2022,381.230011,382.269989,378.420013,380.339996,371.407715,65676000
6/30/2022,376.23999,380.660004,372.559998,377.25,368.390289,112508300
7/1/2022,376.559998,381.700012,373.799988,381.23999,372.28656,74839700
7/5/2022,375.880005,381.980011,372.899994,381.959991,372.989655,81438000
7/6/2022,382.109985,385.869995,379.600006,383.25,374.249359,70426200
7/7/2022,385.119995,389.829987,383.269989,388.98999,379.854553,64525900
7/8/2022,387.269989,390.640015,385.660004,388.670013,379.542084,72397800
7/11/2022,385.850006,386.869995,383.5,384.230011,375.206299,58366900
7/12/2022,383.649994,386.160004,378.98999,380.829987,371.8862,62219200
7/13/2022,375.100006,381.920013,374.660004,378.829987,369.933136,84224600
7/14/2022,373.609985,379.049988,371.040009,377.910004,369.03476,89704800
7/15/2022,382.549988,385.25,380.540009,385.130005,376.085236,79060400
7/18/2022,388.380005,389.089996,380.660004,381.950012,372.979889,63203600
7/19/2022,386.079987,392.869995,385.390015,392.269989,383.057495,78506000
7/20/2022,392.470001,396.26001,391.029999,394.769989,385.498779,71843800
7/21/2022,394.160004,398.839996,391.630005,398.790009,389.424408,64903900
7/22/2022,398.920013,400.179993,392.75,395.089996,385.811279,72197300
7/25/2022,395.75,396.470001,393.209991,395.570007,386.280029,53631500
7/26/2022,393.839996,394.059998,389.950012,390.890015,381.70993,52946400
7/27/2022,394.359985,402.880005,394.049988,401.040009,391.621552,82342100
7/28/2022,401.890015,406.799988,398.149994,406.070007,396.533386,73966600
7/29/2022,407.579987,413.029999,406.769989,411.98999,402.314392,87003700
8/1/2022,409.149994,413.410004,408.399994,410.769989,401.123047,69997500
8/2/2022,409.119995,413,406.820007,408.059998,398.476715,63435400
8/3/2022,410.299988,415.679993,410,414.450012,404.716675,67820600
8/4/2022,414.369995,415.089996,412.440002,414.170013,404.443207,45656600
8/5/2022,409.660004,414.149994,409.600006,413.470001,403.759613,56814900
8/8/2022,415.25,417.619995,411.829987,412.98999,403.290894,53886100
8/9/2022,412.220001,412.75,410.220001,411.350006,401.689392,44931800
8/10/2022,418.779999,420.140015,416.720001,419.98999,410.126526,68665700
8/11/2022,422.98999,424.950012,419.209991,419.98999,410.126526,59489700
8/12/2022,422.029999,427.209991,421.029999,427.100006,417.06955,61694500
8/15/2022,424.769989,429.410004,424.709991,428.859985,418.788177,54048300
8/16/2022,427.730011,431.730011,426.880005,429.700012,419.608459,59289000
8/17/2022,425.910004,429.5,424.540009,426.649994,416.630066,63563400
8/18/2022,426.859985,428.609985,425.5,427.890015,417.841003,49023200
8/19/2022,424.980011,425.26001,421.220001,422.140015,412.226044,68016900
8/22/2022,417.049988,417.230011,412.399994,413.350006,403.642487,77695600
8/23/2022,412.899994,415.420013,411.769989,412.350006,402.665924,49105200
8/24/2022,412.109985,415.109985,411.390015,413.670013,403.954926,49177800
8/25/2022,415.23999,419.559998,414.089996,419.51001,409.657806,50942300
8/26/2022,419.390015,419.959991,405.25,405.309998,395.791229,103087000
8/29/2022,402.200012,405.839996,401.200012,402.630005,393.174225,65370800
8/30/2022,403.850006,404.100006,396,398.209991,388.858002,85652400
8/31/2022,399.929993,401.23999,395.040009,395.179993,385.89917,76029700
9/1/2022,392.890015,396.779999,390.040009,396.420013,387.110077,78740100
9/2/2022,400.279999,401.559998,390.329987,392.23999,383.028229,99632100
9/6/2022,393.130005,394.119995,388.420013,390.76001,381.582977,76637400
9/7/2022,390.429993,398.589996,390.200012,397.779999,388.438141,70964200
9/8/2022,395.390015,400.859985,394.119995,400.380005,390.977051,80821700
9/9/2022,402.73999,407.51001,402.459991,406.600006,397.050995,76706900
9/12/2022,408.779999,411.730011,408.459991,410.970001,401.318329,69256300
9/13/2022,401.829987,403.100006,391.920013,393.100006,383.868011,122947100
9/14/2022,394.470001,396.200012,391.119995,394.600006,385.332794,85023700
9/15/2022,392.959991,395.959991,388.779999,390.119995,380.958038,87633800
9/16/2022,384.140015,386.25,382.109985,385.559998,378.051727,103084800
9/19/2022,382.26001,388.549988,382.179993,388.549988,380.983521,73278500
9/20/2022,385.059998,386.119995,381.200012,384.089996,376.610321,77274900
9/21/2022,386.109985,389.309998,377.380005,377.390015,370.040833,106746600
9/22/2022,376.579987,378.299988,373.440002,374.220001,366.932526,89472600
9/23/2022,370.579987,370.619995,363.290009,367.950012,360.784637,122346900
9/26/2022,366.410004,370.209991,363.029999,364.309998,357.215515,92581200
9/27/2022,368.019989,370.399994,360.869995,363.380005,356.30365,108294100
9/28/2022,364.380005,372.299988,362.600006,370.529999,363.314392,110802200
9/29/2022,366.809998,367.109985,359.700012,362.790009,355.725159,112952300
9/30/2022,361.799988,365.910004,357.040009,357.179993,350.224365,153711200
10/3/2022,361.079987,368.549988,359.209991,366.609985,359.470764,89756500
10/4/2022,372.399994,378,366.570007,377.970001,370.609528,103602800
10/5/2022,373.390015,379.459991,370.950012,377.089996,369.746674,88065700
10/6/2022,375.619995,378.720001,372.679993,373.200012,365.932404,82333500
10/7/2022,368.970001,373.290009,360.940002,362.790009,355.725159,107789500
10/10/2022,363.959991,364.209991,357.670013,360.019989,353.009094,76042800
10/11/2022,358.23999,363.029999,355.709991,357.73999,350.773468,92482800
10/12/2022,358.170013,359.820007,356.299988,356.559998,349.616455,76991800
10/13/2022,349.209991,367.51001,348.109985,365.970001,358.843231,147254500
10/14/2022,368.549988,370.26001,356.959991,357.630005,350.665619,123737000
10/17/2022,364.01001,367.980011,357.279999,366.820007,359.676697,93168200
10/18/2022,375.130005,375.450012,367.519989,371.130005,363.90271,97162900
10/19/2022,368.98999,371.850006,365.549988,368.5,361.323914,79746900
10/20/2022,368.029999,372.670013,364.609985,365.410004,358.294128,88283100
10/21/2022,365.119995,374.799988,363.540009,374.290009,367.00119,131038400
10/24/2022,375.890015,380.059998,373.109985,378.869995,371.492004,85436900
10/25/2022,378.790009,385.25,378.670013,384.920013,377.424194,78846300
10/26/2022,381.619995,387.579987,381.350006,382.019989,374.580658,104087300
10/27/2022,383.070007,385,379.329987,379.980011,372.580414,81971800
10/28/2022,379.869995,389.519989,379.679993,389.019989,381.444305,100302000
10/31/2022,386.440002,388.399994,385.26001,386.209991,378.689056,96631300
11/1/2022,390.140015,390.390015,383.290009,384.519989,377.031982,85407600
11/2/2022,383.899994,388.630005,374.76001,374.869995,367.569885,126990400
11/3/2022,371.470001,374.200012,368.790009,371.01001,363.785065,87100100
11/4/2022,377,378.869995,370,376.350006,369.021088,103505200
11/7/2022,377.709991,380.570007,375.529999,379.950012,372.550964,68286900
11/8/2022,381.109985,385.119995,377.720001,382,374.561066,84641100
11/9/2022,379.929993,381.140015,373.609985,374.130005,366.84436,78495500
11/10/2022,388.049988,395.040009,385.640015,394.690002,387.003937,141455800
11/11/2022,395.589996,399.350006,393.609985,398.51001,390.749573,93839900
11/14/2022,396.660004,400.179993,394.829987,395.119995,387.425568,71903500
11/15/2022,401.149994,402.309998,394.48999,398.48999,390.72995,93194500
11/16/2022,396.779999,397.779999,394.790009,395.450012,387.749146,68508500
11/17/2022,390.459991,394.950012,390.140015,394.23999,386.562653,74496300
11/18/2022,397.73999,397.809998,393.040009,396.029999,388.31781,92922500
11/21/2022,394.640015,395.820007,392.660004,394.589996,386.905884,51243200
11/22/2022,396.630005,400.070007,395.149994,399.899994,392.112457,60429000
11/23/2022,399.549988,402.929993,399.309998,402.420013,394.583405,68261600
11/25/2022,401.829987,402.910004,401.540009,402.329987,394.495148,30545400
11/28/2022,399.089996,400.809998,395.109985,395.910004,388.200195,67881600
11/29/2022,396.049988,397.299988,393.299988,395.230011,387.533386,52310000
11/30/2022,395.48999,407.679993,393.480011,407.679993,399.740906,144566700
12/1/2022,408.769989,410,404.75,407.380005,399.446838,76398200
12/2/2022,402.25,407.859985,402.140015,406.910004,398.985992,85342700
12/5/2022,403.950012,404.929993,398.170013,399.589996,391.808502,77289800
12/6/2022,399.420013,399.98999,391.640015,393.829987,386.160675,77972200
12/7/2022,392.940002,395.640015,391.970001,393.160004,385.503723,65927900
12/8/2022,395.140015,397.359985,393.269989,396.23999,388.523743,60737900
12/9/2022,394.940002,397.619995,393.149994,393.279999,385.621368,81447700
12/12/2022,394.109985,398.950012,393.410004,398.950012,391.180969,75405800
12/13/2022,410.220001,410.48999,399.070007,401.970001,394.142151,123782500
12/14/2022,401.609985,405.5,396.309998,399.399994,391.622192,108111300
12/15/2022,394.299988,395.25,387.890015,389.630005,382.04245,117705900
12/16/2022,385.179993,386.579987,381.040009,383.269989,377.532013,119858000
